domain,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Sector,Competitors,Revenue_,salary_c2,Rating_c2,Revenue_c2
data scientist,Tecolote Research,"Albuquerque, NM","Goleta, CA",750.5,1973,Company - Private,Aerospace & Defense,"['Systems & Technology Research', 'Centauri', 'Torch Technologies, Inc.', 'Northrop Grumman', 'Peraton', 'Johns Hopkins University Applied Physics Laboratory', 'Dynetics', 'Stratagem Group', 'Volume Integration, LLC', 'CACI International', 'DECISIVE ANALYTICS Corporation', 'Lockheed Martin', 'Volume Integration, LLC', 'CACI International', 'BWX Technologies', 'DECISIVE ANALYTICS Corporation', 'Raytheon', 'Royce Geospatial', 'Systems & Technology Research', 'Leidos', 'Northrop Grumman', 'Mteq', 'Northrop Grumman', 'Peraton', 'Maxar Technologies', 'Volume Integration, LLC', 'Raytheon', 'Raytheon', 'Mteq', 'Northrop Grumman', 'GA Telesis']",million,72000.0,3.8,75000000.0
data scientist,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",10000.0,1984,Other Organization,Health Care,"['Rochester Regional Health', 'Nurx', 'Boys Town Hospital', 'DrFirst', 'L.A. Care Health Plan', 'Tower Health', 'Beebe Healthcare', 'Rochester Regional Health', 'Rochester Regional Health', 'Texas Health Huguley Hospital', 'Central California Alliance for Health', 'Beebe Healthcare', 'Tower Health', 'The HSC Health Care System', 'Beebe Healthcare', 'Rochester Regional Health', 'Rochester Regional Health', 'Alignment Healthcare', 'Texas Health Huguley Hospital', 'Vail Health', 'Central California Alliance for Health', 'Beebe Healthcare', 'Tivity Health', 'Orange Coast Memorial Medical Center', 'Catholic Health Initiatives', 'Rochester Regional Health', 'Rochester Regional Health', 'AXION Healthcare Solutions', 'Alignment Healthcare', 'Texas Health Huguley Hospital', 'Remedy BPCI Partners, LLC.', 'Vail Health', 'Central California Alliance for Health', 'Equian LLC', 'Beebe Healthcare', 'Tivity Health', 'Orange Coast Memorial Medical Center', 'Grand Rounds', 'Catholic Health Initiatives', 'Carilion Clinic', 'Johns Hopkins Health Care', 'Community Behavioral Health', 'AXION Healthcare Solutions', 'Alignment Healthcare', 'Texas Health Huguley Hospital', 'Remedy BPCI Partners, LLC.', 'Vail Health', 'Central California Alliance for Health', 'Equian LLC', 'Beebe Healthcare']",billion,87500.0,3.4,3500000000.0
data scientist,KnowBe4,"Clearwater, FL","Clearwater, FL",750.5,2010,Company - Private,Business Services,"['Affinity Solutions', 'Logic20/20', 'ManTech', 'Yesler', 'Anson McCade', 'Zimmerman Advertising', 'USEReady', 'C Space', 'Numeric, LLC', 'Grainger', 'EAG Laboratories', 'webfx.com', 'Excella Consulting', 'Gensco', 'Logic20/20', '7Park Data', 'Rapid Response Monitoring', 'Gallup', 'Object Partners', 'Red Ventures', 'Synagro', 'Alliance Source Testing', 'Full Potential Solutions', 'Maven Wave Partners', 'PA Consulting', 'ManTech', 'PatientPoint', 'KSM Consulting', 'ManTech', 'Hamilton Porter LLC', 'OneMagnify', 'IZEA', 'OSI Engineering', 'Credera', 'Spectrum Communications and Consulting', 'ManTech', 'Blend360', 'Hire Resolve', 'Systems Evolution Inc.', 'comScore', 'SullivanCotter', 'NPD', 'Hamilton Porter LLC', 'Bakery Agency', 'Rose International', 'Pro-Sphere Tek', 'OneMagnify', 'Numeric, LLC', 'IZEA', 'Opinion Dynamics', 'WK Dickson', 'ManTech', 'Freedman Healthcare', 'Randstad', 'Southwest Research Institute', 'CyberCoders', 'The Integer Group', 'ManTech', 'Samba TV', 'EAB', 'OSI Engineering', 'Affinity Solutions', 'OSI Engineering', 'FrankCrum Staffing', 'Guidepoint', 'Maven Wave Partners', 'NJF Global Holdings', 'Moser Consulting', 'Zimmerman Advertising', 'Shine Systems', 'QK', 'Praetorian', 'PA Consulting', 'Strategic Employment Partners', 'Southwest Research Institute', 'RTI International', 'TRANZACT', 'Delphi-US', '1-800-FLOWERS.COM, Inc.', 'Numeric, LLC', 'Samba TV', 'EAB', 'OSI Engineering', 'IHS Markit', 'Affinity Solutions', 'Watchful', 'Conch Technologies, Inc', 'OSI Engineering', 'FrankCrum Staffing', 'Guidepoint', 'Maven Wave Partners', 'Crossix Solutions', 'TriNet', 'NJF Global Holdings', 'Moser Consulting', 'Numeric, LLC', 'Shine Systems', 'USEReady', 'Numeric, LLC', 'QK', 'Job Juncture', 'PA Consulting', 'Praetorian', 'Strategic Employment Partners', 'SPINS, LLC', 'Southwest Research Institute', 'RTI International', 'TRANZACT', 'Mitsubishi Electric Research Labs', 'Mitsubishi Electric Research Labs', 'FrankCrum Staffing', 'TRANZACT', 'Two95 International Inc.', 'Vbeyond Corporation', 'CompQsoft', 'Maven Wave Partners', 'Strategic Employment Partners', 'Crossix Solutions', 'Mathematica Policy Research', 'Eliassen Group', 'ConsultNet, LLC', 'TriNet', 'HireResources a Tailored Solutions Company (WO)', 'Jobot', 'Creative Circle, LLC', 'NJF Global Holdings', 'GTN Technical Staffing', 'Numeric, LLC', 'Moser Consulting', 'Numeric, LLC']",million,85000.0,4.8,300000000.0
data scientist,PNNL,"Richland, WA","Richland, WA",3000.5,1965,Government,"Oil, Gas, Energy & Utilities","['Pacific Northwest National Laboratory', 'Associated Electric Cooperative', 'Associated Electric Cooperative', 'P', 'Pacific Northwest National Laboratory']",million,76500.0,3.8,250500000.0
data scientist,Affinity Solutions,"New York, NY","New York, NY",125.5,1998,Company - Private,Business Services,"['Logic20/20', 'ManTech', 'Yesler', 'Anson McCade', 'Zimmerman Advertising', 'USEReady', 'C Space', 'Numeric, LLC', 'Grainger', 'EAG Laboratories', 'webfx.com', 'Excella Consulting', 'Gensco', 'Logic20/20', '7Park Data', 'Rapid Response Monitoring', 'Gallup', 'Object Partners', 'Red Ventures', 'Synagro', 'Alliance Source Testing', 'Full Potential Solutions', 'Maven Wave Partners', 'PA Consulting', 'ManTech', 'PatientPoint', 'KSM Consulting', 'ManTech', 'Hamilton Porter LLC', 'OneMagnify', 'IZEA', 'OSI Engineering', 'Credera', 'Spectrum Communications and Consulting', 'ManTech', 'Blend360', 'Hire Resolve', 'Systems Evolution Inc.', 'comScore', 'SullivanCotter', 'NPD', 'Hamilton Porter LLC', 'Bakery Agency', 'Rose International', 'Pro-Sphere Tek', 'OneMagnify', 'Numeric, LLC', 'IZEA', 'Opinion Dynamics', 'WK Dickson', 'ManTech', 'Freedman Healthcare', 'Randstad', 'Southwest Research Institute', 'CyberCoders', 'The Integer Group', 'ManTech', 'Samba TV', 'EAB', 'OSI Engineering', 'OSI Engineering', 'FrankCrum Staffing', 'Guidepoint', 'Maven Wave Partners', 'NJF Global Holdings', 'Moser Consulting', 'Zimmerman Advertising', 'Shine Systems', 'QK', 'Praetorian', 'PA Consulting', 'Strategic Employment Partners', 'Southwest Research Institute', 'RTI International', 'TRANZACT', 'Delphi-US', '1-800-FLOWERS.COM, Inc.', 'Numeric, LLC', 'Samba TV', 'EAB', 'OSI Engineering', 'IHS Markit', 'Watchful', 'Conch Technologies, Inc', 'OSI Engineering', 'FrankCrum Staffing', 'Guidepoint', 'Maven Wave Partners', 'Crossix Solutions', 'TriNet', 'NJF Global Holdings', 'Moser Consulting', 'Numeric, LLC', 'Shine Systems', 'USEReady', 'Numeric, LLC', 'QK', 'Job Juncture', 'PA Consulting', 'Praetorian', 'Strategic Employment Partners', 'SPINS, LLC', 'Southwest Research Institute', 'RTI International', 'TRANZACT', 'Mitsubishi Electric Research Labs', 'Mitsubishi Electric Research Labs', 'FrankCrum Staffing', 'TRANZACT', 'Two95 International Inc.', 'Vbeyond Corporation', 'CompQsoft', 'Maven Wave Partners', 'Strategic Employment Partners', 'Crossix Solutions', 'Mathematica Policy Research', 'Eliassen Group', 'ConsultNet, LLC', 'TriNet', 'HireResources a Tailored Solutions Company (WO)', 'Jobot', 'Creative Circle, LLC', 'NJF Global Holdings', 'GTN Technical Staffing', 'Numeric, LLC', 'Moser Consulting', 'Numeric, LLC']",million,114500.0,2.9,75000000.0
data scientist,CyrusOne,"Dallas, TX","Dallas, TX",350.5,2000,Company - Public,Real Estate,"['Amrock', 'Equity Residential', 'Equity Residential', 'Maximus Real Estate Partners', 'Amrock', 'Equity Residential']",billion,95000.0,3.4,1500000000.0
data scientist,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",750.5,2008,Company - Private,Finance,"['First Tech Federal Credit Union', 'Brightside', 'Bill.com', 'TransUnion', 'First Command Financial Services, Inc.', 'State of Wisconsin Investment Board', 'PennyMac', 'Zest AI', 'Octane', 'State of Wisconsin Investment Board', 'Clearwater Analytics', 'PennyMac', 'Cambridge Trust Company', 'OceanFirst Financial', 'Northpointe Bank', 'First Tech Federal Credit Union', 'Zest AI', 'PennyMac', 'Citadel Federal Credit Union', 'Octane', 'Cboe Global Markets', 'Sterling National Bank', 'TransUnion', 'Octane', 'Associated Banc-Corp', 'Zest AI', 'Santander', 'Veterans United Home Loans', 'FHLBank Pittsburgh', 'GreatAmerica Financial Services', 'FLEETCOR', 'Citi', 'Biz2Credit Inc', 'PeoplesBank', 'Citadel Federal Credit Union', 'Octane', 'Cboe Global Markets', 'Two Sigma', 'Sterling National Bank', 'TransUnion', 'Octane', 'Associated Banc-Corp', 'Santander', 'Zest AI', 'Veterans United Home Loans', 'FHLBank Pittsburgh', 'GreatAmerica Financial Services', 'FLEETCOR', 'DTCC', 'Oportun. Inc', 'Bill.com', 'Cboe Global Markets', 'Sterling National Bank', 'TransUnion']",million,73500.0,4.1,75000000.0
data scientist,Logic20/20,"San Jose, CA","Seattle, WA",350.5,2005,Company - Private,Business Services,"['Affinity Solutions', 'ManTech', 'Yesler', 'Anson McCade', 'Zimmerman Advertising', 'USEReady', 'C Space', 'Numeric, LLC', 'Grainger', 'EAG Laboratories', 'webfx.com', 'Excella Consulting', 'Gensco', '7Park Data', 'Rapid Response Monitoring', 'Gallup', 'Object Partners', 'Red Ventures', 'Synagro', 'Alliance Source Testing', 'Full Potential Solutions', 'Maven Wave Partners', 'PA Consulting', 'ManTech', 'PatientPoint', 'KSM Consulting', 'ManTech', 'Hamilton Porter LLC', 'OneMagnify', 'IZEA', 'OSI Engineering', 'Credera', 'Spectrum Communications and Consulting', 'ManTech', 'Blend360', 'Hire Resolve', 'Systems Evolution Inc.', 'comScore', 'SullivanCotter', 'NPD', 'Hamilton Porter LLC', 'Bakery Agency', 'Rose International', 'Pro-Sphere Tek', 'OneMagnify', 'Numeric, LLC', 'IZEA', 'Opinion Dynamics', 'WK Dickson', 'ManTech', 'Freedman Healthcare', 'Randstad', 'Southwest Research Institute', 'CyberCoders', 'The Integer Group', 'ManTech', 'Samba TV', 'EAB', 'OSI Engineering', 'Affinity Solutions', 'OSI Engineering', 'FrankCrum Staffing', 'Guidepoint', 'Maven Wave Partners', 'NJF Global Holdings', 'Moser Consulting', 'Zimmerman Advertising', 'Shine Systems', 'QK', 'Praetorian', 'PA Consulting', 'Strategic Employment Partners', 'Southwest Research Institute', 'RTI International', 'TRANZACT', 'Delphi-US', '1-800-FLOWERS.COM, Inc.', 'Numeric, LLC', 'Samba TV', 'EAB', 'OSI Engineering', 'IHS Markit', 'Affinity Solutions', 'Watchful', 'Conch Technologies, Inc', 'OSI Engineering', 'FrankCrum Staffing', 'Guidepoint', 'Maven Wave Partners', 'Crossix Solutions', 'TriNet', 'NJF Global Holdings', 'Moser Consulting', 'Numeric, LLC', 'Shine Systems', 'USEReady', 'Numeric, LLC', 'QK', 'Job Juncture', 'PA Consulting', 'Praetorian', 'Strategic Employment Partners', 'SPINS, LLC', 'Southwest Research Institute', 'RTI International', 'TRANZACT', 'Mitsubishi Electric Research Labs', 'Mitsubishi Electric Research Labs', 'FrankCrum Staffing', 'TRANZACT', 'Two95 International Inc.', 'Vbeyond Corporation', 'CompQsoft', 'Maven Wave Partners', 'Strategic Employment Partners', 'Crossix Solutions', 'Mathematica Policy Research', 'Eliassen Group', 'ConsultNet, LLC', 'TriNet', 'HireResources a Tailored Solutions Company (WO)', 'Jobot', 'Creative Circle, LLC', 'NJF Global Holdings', 'GTN Technical Staffing', 'Numeric, LLC', 'Moser Consulting', 'Numeric, LLC']",million,114000.0,3.8,37500000.0
data scientist,Rochester Regional Health,"Rochester, NY","Rochester, NY",10000.0,2014,Hospital,Health Care,"['Nurx', 'Boys Town Hospital', 'DrFirst', 'L.A. Care Health Plan', 'Tower Health', 'Beebe Healthcare', 'Texas Health Huguley Hospital', 'Central California Alliance for Health', 'Beebe Healthcare', 'Tower Health', 'The HSC Health Care System', 'Beebe Healthcare', 'Alignment Healthcare', 'Texas Health Huguley Hospital', 'Vail Health', 'Central California Alliance for Health', 'Beebe Healthcare', 'Tivity Health', 'Orange Coast Memorial Medical Center', 'Catholic Health Initiatives', 'AXION Healthcare Solutions', 'Alignment Healthcare', 'Texas Health Huguley Hospital', 'Remedy BPCI Partners, LLC.', 'Vail Health', 'Central California Alliance for Health', 'Equian LLC', 'Beebe Healthcare', 'Tivity Health', 'Orange Coast Memorial Medical Center', 'Grand Rounds', 'Catholic Health Initiatives', 'Carilion Clinic', 'Johns Hopkins Health Care', 'Community Behavioral Health', 'AXION Healthcare Solutions', 'Alignment Healthcare', 'Texas Health Huguley Hospital', 'Remedy BPCI Partners, LLC.', 'Vail Health', 'Central California Alliance for Health', 'Equian LLC', 'Beebe Healthcare']",million,61000.0,3.3,250500000.0
data scientist,<intent>,"New York, NY","New York, NY",125.5,2009,Company - Private,Information Technology,"['h2o.ai', 'Nuna', 'Porch', 'Novetta', 'Clarity Insights', 'Esri', 'Sauce Labs', 'Amount', 'Persivia', 'Nuna', 'BPA Services', 'Visa Inc.', 'Intrado', 'Netskope', '1904labs', 'Blue Owl', 'Great-Circle Technologies', 'Oversight Systems', 'Avlino', 'HP Inc.', 'SpringML', 'The Buffalo Group', 'HP Inc.', 'h2o.ai', 'Pactera', 'Productive Edge', 'goTRG', 'NMR Consulting', 'Kodiak Robotics', 'iSeatz', 'ThousandEyes', 'Peterson Technology Partners', 'IT Concepts', 'Scientific Research Corporation', 'General Dynamics Information Technology', 'The Buffalo Group', 'Redjack', 'Bridgerock ', 'NuWave Solutions', 'CapTech', 'CentralReach', 'LEAH ', 'Integrate', 'Demandbase', 'Sapphire Digital', 'Formation', 'Autodesk', 'Briq', 'Geomagical ', 'Quick Base', 'Upside Business Travel', 'Visa Inc.', 'My Job Tank', 'Novetta', 'ShorePoint', 'h2o.ai', 'Gridiron IT', 'Productive Edge', 'AVANADE', 'h2o.ai', 'Insight Enterprises, Inc.', 'Cogo Labs', 'Western Digital', 'Nuna', 'Autodesk', 'Dodge Data & Analytics', 'CA-One Tech C', 'Seen by In', 'Peterson Technology Partners', 'NuWave Solutions', 'Aptonet Inc', 'P2 Energy Solutions', 'ClearEdge', 'Tapjoy', 'Credit Sesame', 'Deco', 'Redstream Technology', 'Daugherty Business Solutions', 'Cogo Labs', 'TrueAccord', 'DRB Systems', 'Western Digital', 'Corcentric', 'U.Group', 'Calista', 'Sandhills Global', 'Eventbrite', 'Centro', 'Service Express', 'Clarity Insights', 'Autodesk', '605', 'Novetta', 'Daugherty Business Solutions', 'Dodge Data & Analytics', 'NS8', 'Tekvalley, Corp.', 'SmartNews, Inc.', 'CA-One Tech C', 'Zylotech', 'Redapt', 'L&T Infotech', 'Seen by In', 'Novetta', 'Applied Information Sciences', 'Peterson Technology Partners', 'NuWave Solutions', 'Aptonet Inc', 'General Dynamics Information Technology', 'Autodesk', '', 'SpringML', 'P2 Energy Solutions', 'Esri', 'ClearEdge', 'SpringML', 'Sumo Logic', 'Monte Rosa Therapeu', 'CALIBRE Systems', 'Esri', 'Tapjoy', 'Motorola Solutions', 'Credit Sesame', 'Infosys', 'Deco', 'Redstream Technology', 'Qualifacts Systems, Inc.', 'CALIBRE Systems', 'Nuna', 'Amount', 'MathWorks', 'MetroStar Systems', 'HOVER', 'Kronos', 'IGNW', 'SmartNews, Inc.', 'BPA Services', 'h2o.ai', 'Genesys', 'BRMi', 'Luminar Technologies', 'Emtec, Inc.', 'Meridian Technologies, Inc', 'Glassdoor', 'Esri', 'Collinwood Technology Partners, LLC', 'Homology Medicines, Inc.', 'Kronos', 'OneThree Bio', 'Figure Eight', 'Tapjoy', '1904labs', 'Sage Intacct', 'Scale AI', 'Esri', 'Astreya', 'Change Healthcare', 'MZ', 'HG Insights', 'ClearEdge', 'Sumo Logic', 'SpringML', 'Samsung Research America', 'Cuboid IT Solutions', 'Netskope', 'Pyramid Consulting, Inc.', 'Serigor Inc.', '', 'Monte Rosa Therapeu', 'TechProjects', 'Capgemini', 'Medidata Solutions', 'CALIBRE Systems', 'HP Inc.', 'Tapjoy', 'Visa Inc.', 'Quartet Health', 'Motorola Solutions', 'Credit Sesame', 'CompuF', 'Infosys', 'WeRid', 'ODSC Hiring Par', 'Brillient', 'Entefy', 'Deco', 'Point72 Vent', 'Trace3', 'The Climate Corporation', 'Qualifacts Systems, Inc.', 'Redstream Technology', 'Clarity Insights', 'CALIBRE Systems', 'Factual', 'Signpost', 'Adobe', 'UPM Pharmaceutical Inc', 'MetroStar Systems', 'MathWorks', 'Information Builders', 'Greenway Health', 'HOVER', 'Oversight Systems', 'Confluent', 'Kronos', 'Life360', 'Eventbrite', 'IGNW', 'SmartNews, Inc.', 'h2o.ai', 'Novetta', 'Novetta', 'Genesys', 'Demandbase', 'Monte Rosa Therapeu', 'Luminar Technologies', 'BRMi', 'IntraEdge', 'Emtec, Inc.', 'Tapjoy', 'Mentor Graphics', 'Glassdoor', 'Meridian Technologies, Inc', 'Esri', 'Blue Owl', 'Collinwood Technology Partners, LLC', 'Homology Medicines, Inc.', 'Kronos', 'Avlino', 'OneThree Bio', 'SafeGraph', 'Figure Eight', 'Tapjoy', 'DoubleVerify', 'Kronos', 'Western Digital', 'Bridg', 'Infosys', 'WeRid', 'Brillient', 'ODSC Hiring Par', 'Deco', 'Entefy', 'Point72 Vent', 'Cuboid IT Solutions', 'Adyen ', 'Trace3', 'The Buffalo Group', 'Technosoft Corporation', 'Senti', 'The Climate Corporation', 'Qualifacts Systems, Inc.', 'Redstream Technology', 'Solugenix Corporation', 'Clarity Insights', 'CALIBRE Systems', 'Factual', 'Edison Software, Inc.', 'SkySync', 'Medidata Solutions', 'Signpost', 'Adobe', 'DatamanUSA, LLC', 'UPM Pharmaceutical Inc', 'MetroStar Systems', 'MathWorks', 'Information Builders', 'Steel Point Solutions, LLC', 'Miracle Software Systems', 'Greenway Health', 'HOVER', 'Kronos', 'Life360', 'Fivestars', 'Eventbrite', 'IGNW']",million,140000.0,4.6,300000000.0
